"Country, Others",State,Continent,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases / 1M Polulation,Deaths / 1M Population,Total Tests,Tests / 1M Population,Population,1 Case ever X People,1 Death ever X People,1 Test ever X People
Diamond Princess,,,712,,13 ,,651,,48,4,,,,, ,,,
MS Zaandam,,,9,,2 ,,,,7,,,,,, ,,,
India,,Asia,"328,214","+6,588","9,365 ",+166,"166,980","+4,654","151,869","8,944",238,7,"5,658,614","4,102","1,379,344,820","4,203","147,287",244
Peru,,South America,"225,132",,"6,498 ",,"111,724",,"106,910","1,113","6,833",197,"1,338,477","40,623","32,948,535",146,"5,071",25
USA,New York,USA,"403,809",,"30,874",,,,"287,178",,"20,758","1,587","2,872,355","147,652",,,,
USA,New Jersey,USA,"169,237",,"12,696",,,,"124,578",,"19,054","1,429","1,078,215","121,391",,,,
USA,California,USA,"150,267",,"5,062",,,,"104,932",,"3,803",128,"2,724,393","68,951",,,,
USA,Illinois,USA,"131,871",,"6,289",,,,"42,029",,"10,407",496,"1,169,806","92,316",,,,
USA,Massachusetts,USA,"105,395",,"7,576",,,,"13,198",,"15,291","1,099","756,319","109,731",,,,
USA,Texas,USA,"87,903",,"1,989",,,,"29,379",,"3,032",69,"1,442,950","49,764",,,,
USA,Pennsylvania,USA,"83,163",+172,"6,283",+4,,,"20,808",,"6,496",491,"589,532","46,050",,,,
USA,Florida,USA,"75,568","+1,972","2,931",+3,,,"58,850",,"3,518",136,"1,409,992","65,649",,,,
USA,Michigan,USA,"65,836",,"6,013",,,,"14,859",,"6,592",602,"941,324","94,256",,,,
USA,Maryland,USA,"61,701",+396,"2,939",+13,,,"54,226",,"10,206",486,"483,826","80,028",,,,
USA,Georgia,USA,"56,801",,"2,446",,,,"52,909",,"5,350",230,"713,085","67,162",,,,
USA,Virginia,USA,"54,506",+637,"1,546",+5,,,"45,829",,"6,386",181,"519,782","60,896",,,,
USA,Louisiana,USA,"46,283",,"3,009",,,,"9,370",,"9,956",647,"504,383","108,498",,,,
UK,,Europe,"295,889","+1,514","41,698 ",+36,N/A,N/A,N/A,392,"4,360",614,"6,772,602","99,789","67,869,522",229,"1,628",10
USA,Connecticut,USA,"44,994",,"4,186",,,,"32,212",,"12,620","1,174","344,254","96,557",,,,
USA,North Carolina,USA,"44,119","+1,275","1,127",,,,"19,339",,"4,207",107,"611,690","58,322",,,,
USA,Ohio,USA,"40,865",+17,"2,554",,,,"29,758",,"3,496",218,"538,898","46,103",,,,
USA,Indiana,USA,"39,909",+366,"2,422",+9,,,"9,254",,"5,928",360,"340,637","50,598",,,,
USA,Arizona,USA,"35,691","+1,233","1,186",+3,,,"34,331",,"4,903",163,"469,426","64,493",,,,
USA,Minnesota,USA,"30,471",+299,"1,329",+15,,,"3,052",,"5,403",236,"417,710","74,067",,,,
USA,Tennessee,USA,"29,541",,472,,,,"9,338",,"4,326",69,"601,161","88,028",,,,
USA,Colorado,USA,"29,017",,"1,598",,,,"24,890",,"5,039",277,"242,034","42,029",,,,
USA,Washington,USA,"26,324",,"1,217",,,,"16,536",,"3,457",160,"450,156","59,115",,,,
USA,Alabama,USA,"25,615","+1,014",773,,,,"11,334",,"5,224",158,"297,075","60,588",,,,
USA,Iowa,USA,"23,904",+187,651,+1,,,"8,954",,"7,576",206,"219,608","69,605",,,,
USA,Wisconsin,USA,"22,518",,691,,,,"5,596",,"3,867",119,"410,917","70,575",,,,
